member_id,employer_id,first_name,last_name,date_of_birth,gender,state,zip_code,email,phone,high_risk_flag,created_at
MEM00071,EMP001,FirstName71,LastName71,1993-11-27,F,CA,94109,member71@example.com,555-123-4574,FALSE,2022-12-20
MEM00072,EMP003,FirstName72,LastName72,1977-04-10,M,TX,75215,member72@example.com,555-234-5685,TRUE,2022-12-25
MEM00073,EMP007,FirstName73,LastName73,1999-08-22,F,MA,02108,member73@example.com,555-345-6786,FALSE,2023-01-01
MEM00074,EMP002,FirstName74,LastName74,1982-12-04,M,NY,10015,member74@example.com,555-456-7897,FALSE,2023-01-05
MEM00075,EMP005,FirstName75,LastName75,1994-05-17,F,IL,60608,member75@example.com,555-567-8908,FALSE,2023-01-10
MEM00076,EMP004,FirstName76,LastName76,1970-09-29,M,FL,33108,member76@example.com,555-678-9019,FALSE,2023-01-15
MEM00077,EMP006,FirstName77,LastName77,1998-02-11,F,WA,98108,member77@example.com,555-789-0130,FALSE,2023-01-20
MEM00078,EMP008,FirstName78,LastName78,1975-07-24,M,CA,90008,member78@example.com,555-890-1241,TRUE,2023-01-25
MEM00079,EMP009,FirstName79,LastName79,1987-12-06,F,NY,10016,member79@example.com,555-901-2352,FALSE,2023-02-01
MEM00080,EMP010,FirstName80,LastName80,1966-05-19,M,TX,75216,member80@example.com,555-012-3463,FALSE,2023-02-05
MEM00081,EMP001,FirstName81,LastName81,1995-10-01,F,CA,94110,member81@example.com,555-123-4575,FALSE,2023-02-10
MEM00082,EMP003,FirstName82,LastName82,1979-03-14,M,TX,75217,member82@example.com,555-234-5686,FALSE,2023-02-15
MEM00083,EMP007,FirstName83,LastName83,2000-07-26,F,MA,02109,member83@example.com,555-345-6787,FALSE,2023-02-20
MEM00084,EMP002,FirstName84,LastName84,1984-11-08,M,NY,10017,member84@example.com,555-456-7898,TRUE,2023-02-25
MEM00085,EMP005,FirstName85,LastName85,1996-04-21,F,IL,60609,member85@example.com,555-567-8909,FALSE,2023-03-01
MEM00086,EMP004,FirstName86,LastName86,1972-09-03,M,FL,33109,member86@example.com,555-678-9020,FALSE,2023-03-05
MEM00087,EMP006,FirstName87,LastName87,2000-01-16,F,WA,98109,,555-789-0131,FALSE,2023-03-10
MEM00088,EMP008,FirstName88,LastName88,1977-06-28,M,CA,90009,member88@example.com,555-890-1242,FALSE,2023-03-15
MEM00089,EMP009,FirstName89,LastName89,1989-11-10,F,NY,10018,member89@example.com,555-901-2353,FALSE,2023-03-20
MEM00090,EMP010,FirstName90,LastName90,1968-04-23,M,TX,75218,member90@example.com,555-012-3464,FALSE,2023-03-25
MEM00091,EMP001,FirstName91,LastName91,1997-09-05,F,CA,94111,member91@example.com,555-123-4576,TRUE,2023-04-01
MEM00092,EMP003,FirstName92,LastName92,1981-02-17,M,TX,75219,member92@example.com,555-234-5687,FALSE,2023-04-05
MEM00093,EMP007,FirstName93,LastName93,2002-06-29,F,MA,02110,member93@example.com,555-345-6788,FALSE,2023-04-10
MEM00094,EMP002,FirstName94,LastName94,1986-10-11,M,NY,10019,member94@example.com,555-456-7899,FALSE,2023-04-15
MEM00095,EMP005,FirstName95,LastName95,1998-03-24,F,IL,60610,member95@example.com,555-567-8910,FALSE,2023-04-20
MEM00096,EMP004,FirstName96,LastName96,1974-08-06,M,FL,33110,member96@example.com,555-678-9021,FALSE,2023-04-25
MEM00097,EMP006,FirstName97,LastName97,2002-12-18,F,WA,98110,member97@example.com,555-789-0132,FALSE,2023-05-01
MEM00098,EMP008,FirstName98,LastName98,1979-05-31,M,CA,90010,member98@example.com,555-890-1243,TRUE,2023-05-05
MEM00099,EMP009,FirstName99,LastName99,1991-10-13,F,NY,10020,member99@example.com,555-901-2354,FALSE,2023-05-10
MEM00100,EMP010,FirstName100,LastName100,1970-03-26,M,TX,75220,member100@example.com,555-012-3465,FALSE,2023-05-15
